instrument_id	display_name	category	folder_relpath	sfz_relpath	zones_file	zone_count
aerophones_edge_blown_aerophones_baroque_tenor_recorder_staccato	Baroque Tenor Recorder - Staccato	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Baroque Tenor Recorder	Aerophones/Edge-blown Aerophones/Baroque Tenor Recorder - Staccato.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Baroque Tenor Recorder/tables/aerophones_edge_blown_aerophones_baroque_tenor_recorder_staccato.zones.tsv	12
aerophones_edge_blown_aerophones_baroque_tenor_recorder_susvib	Baroque Tenor Recorder - SusVib	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Baroque Tenor Recorder	Aerophones/Edge-blown Aerophones/Baroque Tenor Recorder - SusVib.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Baroque Tenor Recorder/tables/aerophones_edge_blown_aerophones_baroque_tenor_recorder_susvib.zones.tsv	14
aerophones_edge_blown_aerophones_baroque_tenor_recorder_sustain	Baroque Tenor Recorder - Sustain	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Baroque Tenor Recorder	Aerophones/Edge-blown Aerophones/Baroque Tenor Recorder - Sustain.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Baroque Tenor Recorder/tables/aerophones_edge_blown_aerophones_baroque_tenor_recorder_sustain.zones.tsv	13
aerophones_edge_blown_aerophones_ocarina_small_keyswitch	Ocarina, Small - Keyswitch	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Ocarina, Small	Aerophones/Edge-blown Aerophones/Ocarina, Small - Keyswitch.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Ocarina, Small/tables/aerophones_edge_blown_aerophones_ocarina_small_keyswitch.zones.tsv	23
aerophones_edge_blown_aerophones_ocarina_small_staccato	Ocarina, Small - Staccato	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Ocarina, Small	Aerophones/Edge-blown Aerophones/Ocarina, Small - Staccato.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Ocarina, Small/tables/aerophones_edge_blown_aerophones_ocarina_small_staccato.zones.tsv	13
aerophones_edge_blown_aerophones_ocarina_small_sustain	Ocarina, Small - Sustain	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Ocarina, Small	Aerophones/Edge-blown Aerophones/Ocarina, Small - Sustain.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Ocarina, Small/tables/aerophones_edge_blown_aerophones_ocarina_small_sustain.zones.tsv	10
aerophones_edge_blown_aerophones_ocarina_typical_keyswitch	Ocarina, Typical - Keyswitch	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Ocarina, Typical	Aerophones/Edge-blown Aerophones/Ocarina, Typical - Keyswitch.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Ocarina, Typical/tables/aerophones_edge_blown_aerophones_ocarina_typical_keyswitch.zones.tsv	42
aerophones_edge_blown_aerophones_ocarina_typical_sus	Ocarina, Typical - Sus	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Ocarina, Typical	Aerophones/Edge-blown Aerophones/Ocarina, Typical - Sus.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Ocarina, Typical/tables/aerophones_edge_blown_aerophones_ocarina_typical_sus.zones.tsv	22
aerophones_edge_blown_aerophones_ocarina_typical_susvib	Ocarina, Typical - SusVib	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Ocarina, Typical	Aerophones/Edge-blown Aerophones/Ocarina, Typical - SusVib.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Ocarina, Typical/tables/aerophones_edge_blown_aerophones_ocarina_typical_susvib.zones.tsv	20
aerophones_edge_blown_aerophones_pipe_organ_keyswitch	Pipe Organ - Keyswitch	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Pipe Organ	Aerophones/Edge-blown Aerophones/Pipe Organ - Keyswitch.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Pipe Organ/tables/aerophones_edge_blown_aerophones_pipe_organ_keyswitch.zones.tsv	64
aerophones_edge_blown_aerophones_pipe_organ_loud_pedal	Pipe Organ - Loud Pedal	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Pipe Organ	Aerophones/Edge-blown Aerophones/Pipe Organ - Loud Pedal.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Pipe Organ/tables/aerophones_edge_blown_aerophones_pipe_organ_loud_pedal.zones.tsv	11
aerophones_edge_blown_aerophones_pipe_organ_loud	Pipe Organ - Loud	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Pipe Organ	Aerophones/Edge-blown Aerophones/Pipe Organ - Loud.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Pipe Organ/tables/aerophones_edge_blown_aerophones_pipe_organ_loud.zones.tsv	21
aerophones_edge_blown_aerophones_pipe_organ_quiet_pedal	Pipe Organ - Quiet Pedal	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Pipe Organ	Aerophones/Edge-blown Aerophones/Pipe Organ - Quiet Pedal.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Pipe Organ/tables/aerophones_edge_blown_aerophones_pipe_organ_quiet_pedal.zones.tsv	11
aerophones_edge_blown_aerophones_pipe_organ_quiet	Pipe Organ - Quiet	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Pipe Organ	Aerophones/Edge-blown Aerophones/Pipe Organ - Quiet.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Pipe Organ/tables/aerophones_edge_blown_aerophones_pipe_organ_quiet.zones.tsv	21
aerophones_edge_blown_aerophones_renaissance_organ_4_8	Renaissance Organ - 4'+8'	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Renaissance Organ	Aerophones/Edge-blown Aerophones/Renaissance Organ - 4'+8'.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Renaissance Organ/tables/aerophones_edge_blown_aerophones_renaissance_organ_4_8.zones.tsv	54
aerophones_edge_blown_aerophones_renaissance_organ_4	Renaissance Organ - 4'	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Renaissance Organ	Aerophones/Edge-blown Aerophones/Renaissance Organ - 4'.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Renaissance Organ/tables/aerophones_edge_blown_aerophones_renaissance_organ_4.zones.tsv	27
aerophones_edge_blown_aerophones_renaissance_organ_8	Renaissance Organ - 8'	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Renaissance Organ	Aerophones/Edge-blown Aerophones/Renaissance Organ - 8'.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Renaissance Organ/tables/aerophones_edge_blown_aerophones_renaissance_organ_8.zones.tsv	27
aerophones_edge_blown_aerophones_renaissance_organ_full	Renaissance Organ - Full	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Renaissance Organ	Aerophones/Edge-blown Aerophones/Renaissance Organ - Full.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Renaissance Organ/tables/aerophones_edge_blown_aerophones_renaissance_organ_full.zones.tsv	27
aerophones_edge_blown_aerophones_renaissance_organ_keyswitch	Renaissance Organ - Keyswitch	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Renaissance Organ	Aerophones/Edge-blown Aerophones/Renaissance Organ - Keyswitch.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Renaissance Organ/tables/aerophones_edge_blown_aerophones_renaissance_organ_keyswitch.zones.tsv	135
aerophones_edge_blown_aerophones_train_whistle_toy	Train Whistle, Toy	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Train Whistle, Toy	Aerophones/Edge-blown Aerophones/Train Whistle, Toy.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Train Whistle, Toy/tables/aerophones_edge_blown_aerophones_train_whistle_toy.zones.tsv	6
aerophones_free_aerophones_harmonica_hohner_special20_c_keyswitch	Harmonica-Hohner-Special20-C - Keyswitch	Aerophones/Free Aerophones	Aerophones/Free Aerophones/Harmonica-Hohner-Special20-C	Aerophones/Free Aerophones/Harmonica-Hohner-Special20-C - Keyswitch.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Free Aerophones/Harmonica-Hohner-Special20-C/tables/aerophones_free_aerophones_harmonica_hohner_special20_c_keyswitch.zones.tsv	58
aerophones_free_aerophones_harmonica_hohner_special20_c_normal	Harmonica-Hohner-Special20-C - Normal	Aerophones/Free Aerophones	Aerophones/Free Aerophones/Harmonica-Hohner-Special20-C	Aerophones/Free Aerophones/Harmonica-Hohner-Special20-C - Normal.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Free Aerophones/Harmonica-Hohner-Special20-C/tables/aerophones_free_aerophones_harmonica_hohner_special20_c_normal.zones.tsv	18
aerophones_free_aerophones_harmonica_hohner_special20_c_soft	Harmonica-Hohner-Special20-C - Soft	Aerophones/Free Aerophones	Aerophones/Free Aerophones/Harmonica-Hohner-Special20-C	Aerophones/Free Aerophones/Harmonica-Hohner-Special20-C - Soft.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Free Aerophones/Harmonica-Hohner-Special20-C/tables/aerophones_free_aerophones_harmonica_hohner_special20_c_soft.zones.tsv	20
aerophones_free_aerophones_harmonica_hohner_special20_c_vib	Harmonica-Hohner-Special20-C - Vib	Aerophones/Free Aerophones	Aerophones/Free Aerophones/Harmonica-Hohner-Special20-C	Aerophones/Free Aerophones/Harmonica-Hohner-Special20-C - Vib.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Free Aerophones/Harmonica-Hohner-Special20-C/tables/aerophones_free_aerophones_harmonica_hohner_special20_c_vib.zones.tsv	20
aerophones_free_aerophones_harmonica_hohner_special20_f_accented	Harmonica-Hohner-Special20-F - Accented	Aerophones/Free Aerophones	Aerophones/Free Aerophones/Harmonica-Hohner-Special20-F	Aerophones/Free Aerophones/Harmonica-Hohner-Special20-F - Accented.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Free Aerophones/Harmonica-Hohner-Special20-F/tables/aerophones_free_aerophones_harmonica_hohner_special20_f_accented.zones.tsv	20
aerophones_free_aerophones_harmonica_hohner_special20_f_handvib	Harmonica-Hohner-Special20-F - HandVib	Aerophones/Free Aerophones	Aerophones/Free Aerophones/Harmonica-Hohner-Special20-F	Aerophones/Free Aerophones/Harmonica-Hohner-Special20-F - HandVib.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Free Aerophones/Harmonica-Hohner-Special20-F/tables/aerophones_free_aerophones_harmonica_hohner_special20_f_handvib.zones.tsv	20
aerophones_free_aerophones_harmonica_hohner_special20_f_keyswitch	Harmonica-Hohner-Special20-F - Keyswitch	Aerophones/Free Aerophones	Aerophones/Free Aerophones/Harmonica-Hohner-Special20-F	Aerophones/Free Aerophones/Harmonica-Hohner-Special20-F - Keyswitch.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Free Aerophones/Harmonica-Hohner-Special20-F/tables/aerophones_free_aerophones_harmonica_hohner_special20_f_keyswitch.zones.tsv	94
aerophones_free_aerophones_harmonica_hohner_special20_f_normal	Harmonica-Hohner-Special20-F - Normal	Aerophones/Free Aerophones	Aerophones/Free Aerophones/Harmonica-Hohner-Special20-F	Aerophones/Free Aerophones/Harmonica-Hohner-Special20-F - Normal.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Free Aerophones/Harmonica-Hohner-Special20-F/tables/aerophones_free_aerophones_harmonica_hohner_special20_f_normal.zones.tsv	16
aerophones_free_aerophones_harmonica_hohner_special20_f_stac	Harmonica-Hohner-Special20-F - Stac	Aerophones/Free Aerophones	Aerophones/Free Aerophones/Harmonica-Hohner-Special20-F	Aerophones/Free Aerophones/Harmonica-Hohner-Special20-F - Stac.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Free Aerophones/Harmonica-Hohner-Special20-F/tables/aerophones_free_aerophones_harmonica_hohner_special20_f_stac.zones.tsv	20
aerophones_free_aerophones_harmonica_hohner_special20_f_vib	Harmonica-Hohner-Special20-F - Vib	Aerophones/Free Aerophones	Aerophones/Free Aerophones/Harmonica-Hohner-Special20-F	Aerophones/Free Aerophones/Harmonica-Hohner-Special20-F - Vib.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Free Aerophones/Harmonica-Hohner-Special20-F/tables/aerophones_free_aerophones_harmonica_hohner_special20_f_vib.zones.tsv	18
aerophones_free_aerophones_harmonica_hohner_super64_accented	Harmonica-Hohner-Super64 - Accented	Aerophones/Free Aerophones	Aerophones/Free Aerophones/Harmonica-Hohner-Super64	Aerophones/Free Aerophones/Harmonica-Hohner-Super64 - Accented.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Free Aerophones/Harmonica-Hohner-Super64/tables/aerophones_free_aerophones_harmonica_hohner_super64_accented.zones.tsv	26
aerophones_free_aerophones_harmonica_hohner_super64_keyswitch	Harmonica-Hohner-Super64 - Keyswitch	Aerophones/Free Aerophones	Aerophones/Free Aerophones/Harmonica-Hohner-Super64	Aerophones/Free Aerophones/Harmonica-Hohner-Super64 - Keyswitch.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Free Aerophones/Harmonica-Hohner-Super64/tables/aerophones_free_aerophones_harmonica_hohner_super64_keyswitch.zones.tsv	78
aerophones_free_aerophones_harmonica_hohner_super64_normal	Harmonica-Hohner-Super64 - Normal	Aerophones/Free Aerophones	Aerophones/Free Aerophones/Harmonica-Hohner-Super64	Aerophones/Free Aerophones/Harmonica-Hohner-Super64 - Normal.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Free Aerophones/Harmonica-Hohner-Super64/tables/aerophones_free_aerophones_harmonica_hohner_super64_normal.zones.tsv	26
aerophones_free_aerophones_harmonica_hohner_super64_vib	Harmonica-Hohner-Super64 - Vib	Aerophones/Free Aerophones	Aerophones/Free Aerophones/Harmonica-Hohner-Super64	Aerophones/Free Aerophones/Harmonica-Hohner-Super64 - Vib.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Free Aerophones/Harmonica-Hohner-Super64/tables/aerophones_free_aerophones_harmonica_hohner_super64_vib.zones.tsv	26
aerophones_free_aerophones_siren	Siren	Aerophones/Free Aerophones	Aerophones/Free Aerophones/Siren	Aerophones/Free Aerophones/Siren.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Free Aerophones/Siren/tables/aerophones_free_aerophones_siren.zones.tsv	5
aerophones_lip_aerophones_didgeridoo	Didgeridoo	Aerophones/Lip Aerophones	Aerophones/Lip Aerophones/Didgeridoo	Aerophones/Lip Aerophones/Didgeridoo.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Lip Aerophones/Didgeridoo/tables/aerophones_lip_aerophones_didgeridoo.zones.tsv	12
aerophones_reed_aerophones_saxello_keyswitch	Saxello - Keyswitch	Aerophones/Reed Aerophones	Aerophones/Reed Aerophones/Saxello	Aerophones/Reed Aerophones/Saxello - Keyswitch.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Reed Aerophones/Saxello/tables/aerophones_reed_aerophones_saxello_keyswitch.zones.tsv	39
aerophones_reed_aerophones_saxello_non_vibrato	Saxello - Non-Vibrato	Aerophones/Reed Aerophones	Aerophones/Reed Aerophones/Saxello	Aerophones/Reed Aerophones/Saxello - Non-Vibrato.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Reed Aerophones/Saxello/tables/aerophones_reed_aerophones_saxello_non_vibrato.zones.tsv	16
